,TEAM,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG%,2P%,3P%,FT%,RB_O2D,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,FG%_MAX,2P%_MAX,3P%_MAX,FT%_MAX,RB_O2D_MAX,TEAM_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG%_OPP,2P%_OPP,3P%_OPP,FT%_OPP,RB_O2D_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,FG%_MAX_OPP,2P%_MAX_OPP,3P%_MAX_OPP,FT%_MAX_OPP,RB_O2D_MAX_OPP,WIN,GAME_ID
0,Austin Peay ,7,9,8,12,4,4,3,20,13,42,0.1320754716981132,0.2,2010,0.3018867924528302,0.3333333333333333,0.21428571428571427,0.7777777777777778,0.6666666666666666,3,5,3,5,1,1,1,7,4,21,0.2222222222222222,0.3333333333333333,0.5714285714285714,0.5454545454545454,0.6666666666666666,1.0,inf,Tennessee ,8,13,21,25,18,6,5,13,14,75,0.1194029850746268,1.3846153846153846,0.4626865671641791,0.5416666666666666,0.2631578947368421,0.6153846153846154,0.84,4,6,8,7,4,2,2,4,5,18,0.5714285714285714,2.0,0.8181818181818182,1.0,0.3333333333333333,0.6666666666666666,2.0,False,0
1,Tennessee ,8,13,21,25,18,6,5,13,14,75,0.1194029850746268,1.3846153846153846,2010,0.4626865671641791,0.5416666666666666,0.2631578947368421,0.6153846153846154,0.84,4,6,8,7,4,2,2,4,5,18,0.5714285714285714,2.0,0.8181818181818182,1.0,0.3333333333333333,0.6666666666666666,2.0,Austin Peay ,7,9,8,12,4,4,3,20,13,42,0.1320754716981132,0.2,0.3018867924528302,0.3333333333333333,0.21428571428571427,0.7777777777777778,0.6666666666666666,3,5,3,5,1,1,1,7,4,21,0.2222222222222222,0.3333333333333333,0.5714285714285714,0.5454545454545454,0.6666666666666666,1.0,inf,True,0
2,Baylor ,15,20,5,23,11,5,5,20,17,50,0.3333333333333333,0.55,2010,0.37777777777777777,0.42105263157894735,0.14285714285714285,0.75,0.21739130434782608,4,6,1,5,4,1,5,5,5,14,0.4,1.5,0.5,0.75,0.0,1.0,0.25,Connecticut ,11,19,12,23,20,6,3,7,15,70,0.1641791044776119,2.857142857142857,0.417910447761194,0.5,0.17647058823529413,0.5789473684210527,0.5217391304347826,5,8,5,8,4,3,2,2,4,34,0.625,2.0,0.5384615384615384,0.6111111111111112,0.375,0.625,0.7142857142857143,False,1
3,Connecticut ,11,19,12,23,20,6,3,7,15,70,0.1641791044776119,2.857142857142857,2010,0.417910447761194,0.5,0.17647058823529413,0.5789473684210527,0.5217391304347826,5,8,5,8,4,3,2,2,4,34,0.625,2.0,0.5384615384615384,0.6111111111111112,0.375,0.625,0.7142857142857143,Baylor ,15,20,5,23,11,5,5,20,17,50,0.3333333333333333,0.55,0.37777777777777777,0.42105263157894735,0.14285714285714285,0.75,0.21739130434782608,4,6,1,5,4,1,5,5,5,14,0.4,1.5,0.5,0.75,0.0,1.0,0.25,True,1
4,Baylor ,13,20,8,28,12,4,9,12,18,51,0.2452830188679245,1.0,2010,0.33962264150943394,0.3902439024390244,0.16666666666666666,0.65,0.2857142857142857,3,8,4,8,4,2,9,5,4,15,0.6666666666666666,1.0,0.6,0.5,1.0,1.0,2.0,Duke ,15,20,16,25,7,6,4,10,16,48,0.2307692307692307,0.7,0.23076923076923078,0.25,0.17647058823529413,0.75,0.64,7,8,3,4,2,4,1,4,5,16,0.3888888888888889,1.0,0.375,0.375,0.5,1.0,1.5,True,2
5,Duke ,15,20,16,25,7,6,4,10,16,48,0.2307692307692307,0.7,2010,0.23076923076923078,0.25,0.17647058823529413,0.75,0.64,7,8,3,4,2,4,1,4,5,16,0.3888888888888889,1.0,0.375,0.375,0.5,1.0,1.5,Baylor ,13,20,8,28,12,4,9,12,18,51,0.2452830188679245,1.0,0.33962264150943394,0.3902439024390244,0.16666666666666666,0.65,0.2857142857142857,3,8,4,8,4,2,9,5,4,15,0.6666666666666666,1.0,0.6,0.5,1.0,1.0,2.0,False,2
6,Baylor ,22,25,5,33,18,2,13,12,12,77,0.4150943396226415,1.5,2010,0.49056603773584906,0.5,0.42857142857142855,0.88,0.15151515151515152,11,13,3,8,7,1,10,3,4,27,1.1428571428571428,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,inf,Tennessee ,7,15,17,22,13,5,3,8,17,62,0.0921052631578947,1.625,0.32894736842105265,0.3333333333333333,0.3125,0.4666666666666667,0.7727272727272727,3,6,5,5,7,1,2,2,4,18,0.1764705882352941,7.0,0.4444444444444444,0.5,0.3333333333333333,1.0,1.0,True,3
7,Tennessee ,7,15,17,22,13,5,3,8,17,62,0.0921052631578947,1.625,2010,0.32894736842105265,0.3333333333333333,0.3125,0.4666666666666667,0.7727272727272727,3,6,5,5,7,1,2,2,4,18,0.1764705882352941,7.0,0.4444444444444444,0.5,0.3333333333333333,1.0,1.0,Baylor ,22,25,5,33,18,2,13,12,12,77,0.4150943396226415,1.5,0.49056603773584906,0.5,0.42857142857142855,0.88,0.15151515151515152,11,13,3,8,7,1,10,3,4,27,1.1428571428571428,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,inf,False,3
8,Bowling Green State ,13,22,10,24,12,5,1,16,15,62,0.2549019607843137,0.75,2010,0.37254901960784315,0.27586206896551724,0.5,0.5909090909090909,0.4166666666666667,6,6,4,8,7,2,1,3,3,19,0.6666666666666666,3.5,0.5,0.5,0.625,1.0,2.0,Michigan State ,12,14,15,27,16,8,2,10,20,72,0.1764705882352941,1.6,0.4117647058823529,0.46153846153846156,0.25,0.8571428571428571,0.5555555555555556,2,3,5,8,3,3,1,3,4,17,0.4,3.0,0.6,0.5555555555555556,1.0,1.0,2.0,False,4
9,Michigan State ,12,14,15,27,16,8,2,10,20,72,0.1764705882352941,1.6,2010,0.4117647058823529,0.46153846153846156,0.25,0.8571428571428571,0.5555555555555556,2,3,5,8,3,3,1,3,4,17,0.4,3.0,0.6,0.5555555555555556,1.0,1.0,2.0,Bowling Green State ,13,22,10,24,12,5,1,16,15,62,0.2549019607843137,0.75,0.37254901960784315,0.27586206896551724,0.5,0.5909090909090909,0.4166666666666667,6,6,4,8,7,2,1,3,3,19,0.6666666666666666,3.5,0.5,0.5,0.625,1.0,2.0,True,4
