,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Emily Kiser,28,.726,.688,.250,.250,4.2,25.3,14.8,5.8,4.0,4.0,0.0,15.6,158,50,
1,Maddie Nolan,27,.429,.429,.714,.000,8.8,21.9,15.3,20.5,4.1,4.1,12.5,14.6,108,50,
2,Naz Hillmon,26,.712,.786,.000,.429,22.7,27.3,25.0,10.3,6.4,0.0,10.7,35.2,128,46,
3,Danielle Rauch,25,.000,.000,.667,.000,0.0,0.0,0.0,10.1,0.0,0.0,0.0,5.9,44,68,
4,Laila Phelia,21,.444,.444,.333,.000,0.0,5.6,2.8,15.7,5.3,0.0,18.2,25.7,82,55,
6,Amy Dilk,20,.339,.500,.000,1.000,0.0,29.6,14.8,13.4,0.0,0.0,25.8,9.5,70,59,
7,Leigha Brown,12,.479,.455,.273,.091,0.0,0.0,0.0,100.0,9.3,0.0,8.0,50.9,117,49,
8,Cameron Williams,10,.500,.500,.000,.000,11.8,11.8,11.8,0.0,0.0,0.0,66.7,29.5,36,64,
9,Elise Stuck,9,1.000,1.000,.000,.000,0.0,13.1,6.6,19.4,0.0,0.0,0.0,10.9,203,64,
10,Izabel Varejao,8,.250,.250,.000,.000,14.8,14.8,14.8,0.0,0.0,0.0,0.0,24.6,73,64,
11,Jordan Hobbs,7,.000,.000,1.000,.000,0.0,0.0,0.0,17.9,0.0,0.0,0.0,7.0,58,68,
12,Michelle Sidor,5,.500,.500,.500,.000,0.0,23.6,11.8,0.0,0.0,0.0,0.0,19.6,105,61,
13,Whitney Sollom,3,.000,.000,.000,.000,39.4,39.4,39.4,41.9,0.0,0.0,0.0,16.4,93,55,
14,School Totals,201,.519,.523,.258,.167,32.4,82.4,57.4,65.6,15.3,5.6,13.4,100.0,102.8,54.2,
