,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Nyara Sabally,48,.558,.500,.042,.333,9.5,20.3,14.7,20.2,3.8,20.8,6.8,31.6,121,78,
1,Endyia Rogers,42,.303,.250,.250,.500,2.7,14.5,8.4,23.2,1.5,0.0,17.0,14.4,77,98,
2,Te-Hina Paopao,41,.529,.529,.471,.000,5.5,11.9,8.6,13.4,3.0,3.5,22.7,27.6,88,94,
3,Sedona Prince,36,.411,.400,.100,.200,12.6,16.9,14.7,12.4,0.0,4.0,15.5,18.4,90,99,
4,Sydney Parrish,14,.000,.000,.500,.000,16.2,8.7,12.6,0.0,0.0,0.0,0.0,14.7,25,105,
6,Maddie Scherr,40,.250,.250,.500,.000,2.8,12.2,7.4,14.0,1.5,0.0,25.0,10.3,62,99,
7,Kylee Watson,16,.000,.000,.000,.000,7.1,30.5,18.4,0.0,0.0,26.8,66.7,9.6,13,80,
8,Ahlise Hurst,9,.375,.375,1.000,.000,0.0,27.1,13.1,0.0,0.0,0.0,33.3,34.3,51,98,
9,Chanaya Pinto,4,,,,,0.0,30.5,14.7,0.0,0.0,0.0,,0.0,,97,
10,School Totals,250,.434,.405,.284,.189,34.1,82.9,57.6,53.6,8.5,34.3,17.4,100.0,85.4,89.0,
