,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Katie Benzan,35,.847,.750,1.000,1.000,0.0,9.2,5.1,15.8,3.0,0.0,0.0,4.0,198,90,
1,Chloe Bibby,33,.357,.357,.286,.000,0.0,13.0,7.2,0.0,1.6,0.0,12.5,11.7,66,92,
2,Ashley Owusu,32,.648,.643,.143,.214,0.0,3.4,1.9,6.2,0.0,0.0,6.1,24.7,127,100,
3,Diamond Miller,29,.635,.618,.471,.235,4.6,29.7,18.4,23.3,5.4,4.6,13.8,36.3,119,74,
4,Angel Reese,21,.830,.833,.000,2.333,19.0,30.7,25.5,18.5,2.5,6.3,19.8,35.0,149,80,
6,Shyanne Sellers,24,.429,.333,.333,1.167,5.5,22.4,14.9,12.4,2.2,0.0,9.9,20.3,100,87,
7,Mimi Collins,21,.400,.400,.000,.000,12.6,5.1,8.5,0.0,0.0,0.0,0.0,11.5,108,99,
8,Taisiya Kozlova,2,.500,.500,.000,.000,0.0,53.8,29.7,0.0,0.0,0.0,0.0,48.4,97,81,
9,Emma Chardon,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,24.2,0,101,
10,School Totals,199,.608,.568,.271,.508,23.3,78.4,53.7,40.0,10.5,6.7,12.0,100.0,117.1,85.5,
