,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Iowa State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Que Morrison,35,.358,.308,.385,.154,0.0,10.7,4.7,14.6,3.2,0.0,12.6,23.2,70,100,
1,Jenna Staiti,28,.471,.471,.118,.000,3.6,35.5,17.8,0.0,0.0,19.2,15.0,36.5,77,88,
2,Sarah Ashlee Barker,25,.214,.214,.857,.000,4.0,14.9,8.8,18.3,4.4,0.0,22.2,18.4,46,96,
3,Mikayla Coombs,19,.143,.143,.000,.000,10.5,0.0,5.8,12.4,0.0,5.7,12.5,21.5,40,108,
4,Javyn Nicholson,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,34.1,0,112,
6,Jordan Isaacs,24,1.000,1.000,.000,.000,12.4,5.2,9.2,0.0,2.3,9.0,66.7,6.4,69,99,
7,Reigan Richardson,19,.417,.417,.333,.000,5.2,6.5,5.8,14.1,2.9,0.0,0.0,16.1,94,102,
8,Chloe Chapman,18,.250,.250,.250,.000,0.0,20.7,9.2,52.7,0.0,6.0,33.3,17.0,55,100,
9,Malury Bates,14,.400,.400,.000,.000,7.1,44.4,23.7,0.0,0.0,23.1,0.0,18.3,85,82,
10,Tineya Hylton,7,,,,,0.0,0.0,0.0,89.8,7.9,0.0,,0.0,221,91,
11,Jillian Hollingshead,7,.000,.000,.000,.000,0.0,17.8,7.9,0.0,0.0,15.4,33.3,21.9,0,96,
12,School Totals,199,.349,.339,.258,.032,22.5,78.1,47.2,68.4,9.7,35.1,19.2,100.0,61.1,93.1,
