,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Georgia Tech ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Nerea Hermosa,39,3,12,.250,3,12,.250,0,0,,1,2,.500,0,3,3,0,0,3,1,1,7
1,Digna Strautmane,38,8,11,.727,6,7,.857,2,4,.500,0,0,,3,3,6,1,4,2,3,2,18
2,Lorela Cubaj,36,4,9,.444,4,8,.500,0,1,.000,0,0,,1,10,11,3,0,1,2,2,8
3,Lotta-Maj Lahtinen,31,3,12,.250,2,6,.333,1,6,.167,0,0,,0,2,2,4,1,0,2,3,7
4,Eylia Love,20,2,9,.222,1,6,.167,1,3,.333,2,4,.500,0,3,3,1,0,0,4,4,7
6,Sarah Bates,16,2,5,.400,0,0,,2,5,.400,0,0,,0,0,0,1,0,0,0,1,6
7,Avyonce Carter,14,2,4,.500,1,2,.500,1,2,.500,0,0,,2,0,2,1,0,0,1,1,5
8,Aixa Wone Aranaz,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Elizabete Bulane,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,School Totals,199,24,62,.387,17,41,.415,7,21,.333,3,6,.500,6,21,27,11,5,6,13,14,58
