,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Hailey Van Lith,37,.585,.559,.353,.118,3.2,18.6,10.3,12.5,0.0,0.0,0.0,24.9,137,100,
1,Kianna Smith,36,.545,.545,.545,.000,0.0,3.8,1.8,10.9,0.0,3.7,8.3,17.2,114,107,
2,Emily Engstler,34,.368,.231,.231,.538,17.3,24.3,20.5,15.7,9.0,7.8,5.9,25.9,104,73,
3,Chelsie Hall,34,.472,.438,.500,.125,0.0,4.1,1.9,10.5,1.8,0.0,0.0,12.8,119,104,
4,Olivia Cochran,25,.584,.625,.000,.375,18.8,5.5,12.7,26.7,2.4,5.3,0.0,19.2,143,100,
6,Mykasa Robinson,18,.667,.667,.000,.000,0.0,15.3,7.1,10.3,3.4,7.4,50.0,17.2,65,91,
7,Liz Dixon,9,.000,.000,.000,.000,13.1,15.3,14.1,0.0,13.6,0.0,66.7,17.2,17,69,
8,Payton Verhulst,6,.000,.000,1.000,.000,19.6,0.0,10.6,0.0,0.0,0.0,33.3,25.7,20,110,
9,Ahlana Smith,1,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,0,109,
10,School Totals,200,.485,.453,.328,.203,35.3,58.6,46.0,50.0,15.4,16.7,10.2,100.0,104.6,90.8,
