,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Taylor Robertson,33,.720,.636,.909,.818,0.0,11.1,6.3,23.3,0.0,6.2,0.0,21.8,161,102,
1,Kennady Tucker,33,.000,.000,.333,.667,7.4,5.5,6.3,13.5,4.8,3.1,20.5,7.1,56,95,
2,Nevaeh Tot,30,.714,.714,.429,.000,0.0,24.4,13.9,6.2,1.8,0.0,0.0,11.2,144,94,
3,Madi Williams,28,.641,.643,.000,.357,0.0,19.6,11.2,20.4,0.0,0.0,11.0,31.3,116,100,
4,Liz Scott,10,.377,.286,.429,.286,36.5,18.3,26.1,21.2,0.0,10.3,0.0,37.9,107,95,
6,Nydia Lampkin,23,.357,.357,.286,.000,5.3,7.9,6.8,14.9,0.0,0.0,22.2,18.8,73,107,
7,Skylar Vann,20,.504,.500,.364,.364,12.2,13.7,13.1,11.9,5.3,0.0,0.0,30.7,114,91,
8,Kelbie Washington,14,.127,.000,.000,.667,0.0,32.6,18.6,21.3,3.8,0.0,56.3,30.5,24,85,
9,Gabby Gregory,7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,111,
10,Kaley Perkins,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,111,
11,School Totals,201,.524,.492,.365,.381,24.2,72.7,51.9,59.3,9.1,10.3,11.8,100.0,101.3,93.5,
