,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Jackson State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ameshya Williams-Holliday,34,4,13,.308,4,13,.308,0,0,,7,10,.700,3,9,12,0,1,2,4,4,15
1,Dayzsha Rogan,31,2,12,.167,0,8,.000,2,4,.500,3,4,.750,0,2,2,4,0,0,1,1,9
2,Miya Crump,29,5,11,.455,1,5,.200,4,6,.667,7,11,.636,1,4,5,2,1,1,2,3,21
3,LaMiracle Sims,25,2,3,.667,2,3,.667,0,0,,0,0,,1,5,6,0,0,0,0,1,4
4,Keshuna Luckett,24,2,9,.222,1,7,.143,1,2,.500,2,4,.500,3,2,5,2,1,0,4,5,7
6,Jariyah Covington,23,4,11,.364,3,9,.333,1,2,.500,0,0,,1,2,3,2,0,0,3,3,9
7,Daja Woodard,20,3,4,.750,3,4,.750,0,0,,0,0,,2,4,6,0,1,1,1,5,6
8,Ti'lan Boler,11,3,4,.750,3,4,.750,0,0,,0,0,,1,0,1,0,1,0,0,1,6
9,Areyanna Hunter,2,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0
10,School Totals,199,25,68,.368,17,53,.321,8,15,.533,19,29,.655,12,28,40,11,5,4,15,23,77
