,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Kansas State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Serena Sundell,35,6,14,.429,3,4,.750,3,10,.300,2,2,1.000,0,3,3,3,0,0,5,2,17
1,Jaelyn Glenn,35,2,7,.286,1,3,.333,1,4,.250,0,0,,0,2,2,0,0,0,2,1,5
2,Brylee Glenn,34,2,6,.333,1,2,.500,1,4,.250,3,4,.750,0,1,1,0,4,0,1,3,8
3,Ayoka Lee,30,5,10,.500,5,10,.500,0,0,,2,2,1.000,2,6,8,2,0,1,4,4,12
4,Emilee Ebert,14,1,2,.500,0,0,,1,2,.500,0,0,,0,2,2,2,0,0,1,0,3
6,Laura Macke,14,1,4,.250,1,2,.500,0,2,.000,2,2,1.000,1,3,4,1,1,0,1,0,4
7,Rebekah Dallinger,12,1,4,.250,0,1,.000,1,3,.333,0,0,,0,0,0,0,0,0,0,2,3
8,Cymone Goodrich,11,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,2,1,2
9,Taylor Lauterbach,9,0,0,,0,0,,0,0,,2,2,1.000,1,1,2,0,0,1,0,1,2
10,Jada Moore,5,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1
11,School Totals,199,19,49,.388,12,24,.500,7,25,.280,12,14,.857,4,18,22,9,5,2,16,14,57
