,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Shannon Titus,32,.337,.214,.000,.571,9.3,6.5,8.0,0.0,8.5,0.0,10.2,30.3,71,105,
1,Erin Houpt,32,.576,.583,.667,.333,0.0,6.5,3.2,0.0,0.0,0.0,12.7,12.2,103,125,
2,Allie Thayne,27,.513,.000,.000,2.000,7.4,0.0,3.8,0.0,0.0,0.0,0.0,3.5,135,129,
3,Jaron Dougherty,25,.150,.150,.300,.000,0.0,4.2,2.0,14.0,2.2,0.0,33.3,29.8,23,121,
4,Amoria Neal-Tysor,13,.200,.200,.300,.000,0.0,0.0,0.0,0.0,0.0,0.0,9.1,42.0,40,130,
6,Endia Banks,21,.000,.000,.333,.000,9.5,34.9,21.9,0.0,0.0,0.0,57.1,16.6,8,107,
7,Sierra Votaw,15,.000,.000,.000,1.000,0.0,14.0,6.8,0.0,7.3,6.6,41.0,16.2,0,100,
8,Nigeria Harkless,11,.250,.250,.000,.000,0.0,28.6,13.9,0.0,0.0,0.0,33.3,27.1,34,107,
9,Lauren McNamara-Clement,7,.000,.000,.000,.000,14.2,29.9,21.9,87.5,0.0,14.2,0.0,14.2,42,106,
10,Kinley Fisher,4,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,24.8,66,130,
11,Kassidy Jones,4,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,200,130,
12,Ashlee Locke,4,.500,.500,.000,.000,0.0,26.2,12.8,100.0,0.0,0.0,0.0,24.8,116,113,
13,Sydneey Boykin,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,130,
14,School Totals,199,.303,.259,.214,.250,20.0,52.6,35.9,30.8,11.0,5.0,22.3,100.0,52.1,113.7,
