,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Joanne Allen-Taylor,38,.684,.636,.000,.273,3.8,0.0,1.8,17.1,1.5,0.0,19.6,20.6,123,107,
1,Lauren Ebo,31,.652,.600,.000,.800,13.9,21.6,17.9,0.0,1.9,0.0,22.8,14.5,116,96,
2,Rori Harmon,22,.606,.500,.000,.500,0.0,12.2,6.3,24.5,2.6,0.0,38.1,18.3,92,98,
3,DeYona Gaston,20,.672,.600,.000,.400,14.4,20.1,17.3,10.1,0.0,4.1,14.5,17.6,134,99,
4,Shay Holle,18,.250,.250,.250,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,65,110,
6,Aaliyah Moore,24,.336,.300,.000,.400,12.0,11.2,11.6,0.0,4.8,6.8,20.3,31.5,67,90,
7,Audrey Warren,23,.429,.429,.143,.000,6.2,11.7,9.0,0.0,7.6,0.0,22.2,20.0,77,87,
8,Aliyah Matharu,21,.625,.625,.250,.000,6.8,12.8,9.9,20.9,11.1,3.9,27.3,26.8,103,77,
9,Latasha Lattimore,4,.000,.000,.000,.000,0.0,67.0,34.7,0.0,0.0,0.0,0.0,12.8,0,79,
10,School Totals,201,.531,.491,.073,.273,35.7,60.0,48.3,34.6,17.4,8.2,21.5,100.0,95.7,91.3,
