,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Austin Peay ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jasmine Rayner,38,3,9,.333,3,9,.333,0,0,,2,2,1.000,1,5,6,1,0,1,3,4,8
1,Ashley Herring,37,8,14,.571,6,11,.545,2,3,.667,3,5,.600,2,1,3,0,0,0,7,1,21
2,Whitney Hanley,31,2,10,.200,1,6,.167,1,4,.250,0,0,,1,1,2,0,1,1,4,2,5
3,Nicole Jamen,15,0,4,.000,0,4,.000,0,0,,0,0,,3,0,3,0,0,0,4,2,0
4,Brooke Faulkner,12,0,5,.000,0,3,.000,0,2,.000,0,0,,0,1,1,0,1,0,1,2,0
6,Dalila Thomas,27,2,4,.500,2,3,.667,0,1,.000,0,0,,1,3,4,0,1,1,0,1,4
7,Meghan Bussabarger,18,0,5,.000,0,1,.000,0,4,.000,0,0,,0,1,1,1,0,0,0,0,0
8,Darcie Warner,17,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,1,1,0,1,1,2
9,Salem Richardson,5,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2
10,School Totals,200,16,53,.302,13,39,.333,3,14,.214,7,9,.778,8,12,20,4,4,3,20,13,42
