,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Baylor ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brittney Griner,40,8,18,.444,8,18,.444,0,0,,11,13,.846,0,7,7,2,0,10,1,3,27
1,Kelli Griffin,36,1,7,.143,1,6,.167,0,1,.000,8,8,1.000,0,6,6,7,1,0,0,0,10
2,Morghan Medlock,33,6,9,.667,6,9,.667,0,0,,0,0,,3,8,11,1,0,1,3,4,12
3,Melissa Jones,33,2,5,.400,1,2,.500,1,3,.333,2,2,1.000,0,6,6,3,1,2,3,2,7
4,Shanay Washington,6,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0
6,Terran Condrey,21,3,3,1.000,1,1,1.000,2,2,1.000,0,0,,0,1,1,4,0,0,1,3,8
7,Kimetria Hayden,17,3,4,.750,3,4,.750,0,0,,0,0,,0,1,1,1,0,0,2,0,6
8,Jordan Madden,14,3,6,.500,3,5,.600,0,1,.000,1,2,.500,1,4,5,0,0,0,2,0,7
9,School Totals,200,26,53,.491,23,46,.500,3,7,.429,22,25,.880,5,33,38,18,2,13,12,12,77
