,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Michigan State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tamika Nurse,34,.204,.000,.333,1.333,0.0,24.1,12.4,43.3,3.4,0.0,29.6,10.4,84,96
1,Lauren Prochaska,33,.599,.500,.538,.462,3.3,15.5,9.6,0.0,1.8,0.0,16.1,29.5,106,105
2,Tracy Pontius,32,.625,.625,.667,.000,0.0,3.2,1.6,0.0,0.0,0.0,20.0,24.5,92,116
3,Jen Uhl,29,.446,.500,.400,1.200,14.9,7.1,10.9,8.5,0.0,2.7,20.7,17.3,91,113
4,Tara Breske,21,.504,.500,.000,.333,5.1,9.8,7.5,0.0,0.0,0.0,30.4,24.5,70,112
6,Maggie Hennegan,16,.404,.500,.000,.500,13.5,32.1,23.0,17.9,3.6,0.0,17.0,19.2,86,91
7,Chrissy Steffen,15,.360,.250,.500,.333,7.2,6.8,7.0,32.7,3.9,0.0,0.0,23.9,105,106
8,Kelly Zuercher,12,,,,,9.0,0.0,4.4,17.5,0.0,0.0,100.0,8.7,43,118
9,Jessica Slagle,7,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0,118
10,Chelsea Albert,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,118
11,Sarah Clapper,0,1.500,1.500,1.000,.000,,,,0.0,,,0.0,,,
12,Laura Bugher,0,,,,,,,,,,,,,,
13,Allison Papenfuss,0,,,,,,,,,,,,,,
14,Jessie Tamerlano,0,,,,,,,,,,,,,,
15,School Totals,200,.504,.480,.431,.431,27.0,61.5,44.7,63.2,7.2,1.9,20.7,100.0,89.9,104.3
