,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Oklahoma State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tegan Cunningham,38,9,25,.360,9,20,.450,0,5,.000,7,10,.700,4,5,9,1,3,0,4,3,25
1,Toni Young,25,9,14,.643,9,14,.643,0,0,,4,4,1.000,2,3,5,1,1,0,1,2,22
2,Ally Clardy,25,0,6,.000,0,2,.000,0,4,.000,0,1,.000,1,3,4,10,3,1,1,1,0
3,Lakyn Garrison,20,0,3,.000,0,0,,0,3,.000,1,2,.500,0,2,2,2,1,0,1,0,1
4,Megan Byford,14,3,3,1.000,3,3,1.000,0,0,,2,2,1.000,1,2,3,1,0,0,0,2,8
6,Precious Robinson,25,5,11,.455,5,11,.455,0,0,,0,0,,5,4,9,0,4,2,2,2,10
7,Carolyn Blair-Mobley,25,0,1,.000,0,0,,0,1,.000,2,4,.500,0,3,3,3,1,0,0,1,2
8,Lindsey Keller,20,1,6,.167,1,4,.250,0,2,.000,0,0,,0,1,1,1,0,0,1,1,2
9,Desiree Jeffries,6,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
10,Heather Howard,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
11,School Totals,200,27,70,.386,27,55,.491,0,15,.000,16,23,.696,13,23,36,19,13,3,10,14,70
