,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,DePaul ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Felicia Chester,43,8,13,.615,8,13,.615,0,0,,3,4,.750,3,4,7,3,0,1,2,4,19
1,Anna Martin,39,10,19,.526,8,14,.571,2,5,.400,2,2,1.000,2,3,5,5,0,0,3,4,24
2,Keisha Hampton,38,6,18,.333,3,12,.250,3,6,.500,1,3,.333,5,3,8,3,2,3,3,5,16
3,Katherine Harry,32,0,6,.000,0,6,.000,0,0,,1,2,.500,2,2,4,1,2,1,2,4,1
4,Sam Quigley,31,6,14,.429,4,9,.444,2,5,.400,0,0,,0,3,3,1,2,0,2,5,14
6,Deanna Ortiz,19,1,5,.200,1,2,.500,0,3,.000,0,0,,0,2,2,4,2,0,1,0,2
7,Jennifer Juergens,15,0,1,.000,0,1,.000,0,0,,0,0,,1,4,5,0,0,0,2,3,0
8,Maureen Mulchrone,8,0,0,,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,0,0
9,School Totals,225,31,76,.408,24,57,.421,7,19,.368,7,11,.636,14,22,36,18,8,5,16,25,76
