,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Georgia ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ashley Houts,45,2,9,.222,0,5,.000,2,4,.500,2,4,.500,2,4,6,3,0,1,0,3,8
1,Jasmine James,44,7,21,.333,5,12,.417,2,9,.222,11,13,.846,3,7,10,4,1,0,2,4,27
2,Meredith Mitchell,44,5,11,.455,2,3,.667,3,8,.375,2,6,.333,3,1,4,4,0,2,2,3,15
3,Angel Robinson,43,5,8,.625,5,8,.625,0,0,,6,8,.750,9,6,15,1,0,1,2,2,16
4,Porsha Phillips,23,1,6,.167,1,5,.200,0,1,.000,3,4,.750,4,6,10,0,1,2,3,5,5
6,Anne Marie Armstrong,21,1,8,.125,0,4,.000,1,4,.250,0,0,,1,4,5,1,0,1,1,3,3
7,Jasmine Hassell,3,0,0,,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,2,1,0
8,Jaleesa Rhoden,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Candace Williams,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,School Totals,225,21,63,.333,13,37,.351,8,26,.308,24,37,.649,22,29,51,13,2,7,12,21,74
