,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Andrea Riley,45,.412,.323,.323,.452,0.0,2.2,1.1,63.6,1.4,0.0,5.1,44.9,99,115
1,Tegan Cunningham,44,.572,.500,.263,.316,4.9,11.4,8.2,8.7,5.6,2.8,4.4,26.6,125,95
2,Toni Young,31,.370,.143,.000,1.143,10.4,25.8,18.4,7.8,0.0,3.9,8.7,19.2,94,95
3,Megan Byford,30,1.026,1.000,.000,2.000,10.7,10.0,10.3,0.0,0.0,4.1,0.0,3.2,226,110
4,Carolyn Blair-Mobley,16,,,,,6.7,0.0,3.2,0.0,0.0,0.0,100.0,3.2,39,118
6,Lakyn Garrison,30,.250,.250,.333,.000,7.1,6.7,6.9,0.0,0.0,0.0,14.3,12.0,62,113
7,Precious Robinson,14,.000,.000,.000,.000,7.7,21.4,14.8,0.0,0.0,0.0,66.7,11.1,16,100
8,Lindsey Keller,14,.000,.000,.000,.000,7.7,7.1,7.4,16.1,4.4,0.0,0.0,3.7,81,104
9,Ally Clardy,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,121
10,School Totals,225,.442,.348,.258,.455,31.0,51.1,41.4,50.0,8.2,8.1,9.1,100.0,97.3,101.4
