,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Stanford ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jasmine James,38,.201,.167,.444,.222,2.6,8.1,5.3,0.0,1.5,0.0,0.0,13.6,48,113
1,Ashley Houts,36,.271,.182,.455,.364,2.7,8.5,5.6,11.4,3.2,0.0,7.3,19.9,60,109
2,Meredith Mitchell,33,.239,.200,.400,.100,3.0,15.5,9.1,25.3,1.8,0.0,16.1,19.7,50,108
3,Porsha Phillips,26,.252,.167,.083,.333,3.8,11.8,7.7,0.0,0.0,6.3,12.7,31.6,50,111
4,Angel Robinson,26,.000,.000,.000,.000,7.5,11.8,9.6,12.8,0.0,9.4,42.9,14.0,12,109
6,Anne Marie Armstrong,17,.503,.571,.571,.286,0.0,24.1,11.8,0.0,0.0,0.0,0.0,24.2,99,106
7,Jasmine Hassell,11,1.000,1.000,.000,.000,8.9,0.0,4.5,0.0,0.0,7.4,80.0,23.7,35,118
8,Candace Williams,5,.375,.375,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7,74,121
9,Tamika Willis,4,,,,,0.0,25.6,12.5,0.0,14.6,0.0,,0.0,,72
10,Ebony Jones,2,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,0,121
11,Jaleesa Rhoden,2,,,,,48.8,51.3,50.0,0.0,0.0,0.0,,0.0,219,89
12,School Totals,200,.276,.237,.373,.220,19.5,59.0,38.8,33.3,7.2,12.2,15.5,100.0,52.2,105.8
