,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Texas A&M ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tanisha Smith,40,8,12,.667,7,10,.700,1,2,.500,0,2,.000,1,2,3,2,3,1,7,1,17
1,Adaora Elonu,34,3,11,.273,3,11,.273,0,0,,1,2,.500,4,10,14,5,0,2,1,2,7
2,Tyra White,31,5,9,.556,4,6,.667,1,3,.333,0,0,,0,4,4,0,4,2,3,0,11
3,Sydney Carter,25,3,11,.273,2,8,.250,1,3,.333,0,0,,0,2,2,2,1,1,1,3,7
4,Damitria Buchanan,14,0,1,.000,0,1,.000,0,0,,0,0,,3,2,5,0,1,0,0,2,0
6,Danielle Adams,31,8,14,.571,8,14,.571,0,0,,3,7,.429,5,5,10,2,2,2,0,4,19
7,Sydney Colson,24,3,8,.375,3,6,.500,0,2,.000,4,4,1.000,0,0,0,5,4,0,5,2,10
8,Kelsey Assarian,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0
9,School Totals,200,30,66,.455,27,56,.482,3,10,.300,8,15,.533,13,25,38,16,15,8,18,15,71
