,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Monica Wright,39,.570,.537,.111,.222,7.5,22.0,13.4,9.6,7.3,3.3,9.2,34.8,116,78
1,Chelsea Shine,21,.279,.250,.000,.250,4.6,6.8,5.5,0.0,2.3,12.3,31.1,25.5,45,91
2,Lexie Gerson,11,.000,.000,1.000,.000,0.0,39.0,15.8,14.5,8.7,0.0,80.0,18.9,8,70
3,Jayna Hartig,7,.000,.000,.000,.000,0.0,0.0,0.0,45.7,0.0,0.0,50.0,11.9,38,102
4,Simone Egwu,5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,102
6,Whitny Edwards,33,.531,.563,.500,.125,8.9,8.7,8.8,0.0,7.2,0.0,0.0,10.6,124,83
7,Paulisha Kellum,32,.335,.273,.091,.182,6.1,4.5,5.4,0.0,1.5,0.0,7.8,16.7,80,97
8,Ariana Moorer,26,.324,.143,.143,1.143,7.5,11.0,8.9,39.3,9.2,0.0,27.5,23.2,72,78
9,Telia McCall,25,.339,.250,.000,1.000,11.7,28.6,18.6,0.0,3.8,0.0,25.8,12.9,68,85
10,Britny Edwards,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,101
11,School Totals,200,.430,.388,.149,.343,34.1,71.4,49.3,40.0,26.2,9.7,19.6,100.0,79.8,82.1
