,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,James Madison ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Dawn Evans,39,6,20,.300,4,11,.364,2,9,.222,4,4,1.000,0,3,3,2,0,0,7,2,18
1,Tarik Hislop,37,5,10,.500,4,8,.500,1,2,.500,3,3,1.000,3,2,5,1,3,0,5,3,14
2,Jalissa Taylor,27,3,5,.600,3,5,.600,0,0,,0,2,.000,4,6,10,0,2,1,2,1,6
3,Sarah Williams,25,0,7,.000,0,3,.000,0,4,.000,0,0,,0,3,3,2,2,0,0,2,0
4,Nikki Newman,21,1,2,.500,0,0,,1,2,.500,0,0,,2,3,5,3,2,0,0,2,3
6,Lauren Jimenez,22,4,11,.364,4,11,.364,0,0,,0,6,.000,3,1,4,0,0,0,0,2,8
7,Courtney Hamner,12,1,2,.500,1,1,1.000,0,1,.000,0,0,,1,4,5,1,1,0,3,0,2
8,Kanita Shepherd,10,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,1,2,2
9,Kiara Francisco,7,0,0,,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,0,0
10,School Totals,200,21,59,.356,17,41,.415,4,18,.222,7,15,.467,15,23,38,9,11,1,19,14,53
