,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kelsey Griffin,37,.522,.417,.000,.417,16.0,33.3,24.5,11.6,1.5,4.7,17.4,24.5,104,102
1,Lindsey Moore,37,.625,.625,.375,.000,0.0,8.3,4.1,11.0,1.5,0.0,27.3,15.7,94,113
2,Dominique Kelley,35,.655,.654,.077,.615,4.2,4.4,4.3,23.1,1.6,0.0,19.5,30.9,113,114
3,Yvonne Turner,33,.212,.188,.625,.375,0.0,4.7,2.3,10.6,1.7,0.0,30.0,21.3,40,113
4,Cory Montgomery,31,.704,.722,.222,.222,0.0,5.0,2.4,0.0,0.0,0.0,16.8,20.2,112,118
6,Nicole Neals,11,.000,.000,1.000,.000,0.0,0.0,0.0,15.2,0.0,0.0,0.0,4.8,53,120
7,Catheryn Redmon,10,1.053,,,,0.0,30.8,15.1,0.0,5.6,0.0,0.0,4.6,250,93
8,Kala Kuhlmann,6,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,120
9,School Totals,200,.554,.520,.235,.392,18.5,57.7,37.7,41.7,6.9,4.3,20.9,100.0,93.1,105.6
