,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Oklahoma ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Amber Smith,39,.452,.389,.333,.222,2.3,4.9,3.1,5.1,2.7,0.0,44.7,19.6,57,123
1,Victoria Dunlap,38,.654,.556,.000,.667,18.7,25.1,20.7,25.3,4.2,0.0,7.9,28.4,145,116
2,A'dia Mathies,38,.301,.286,.143,.143,7.0,10.0,8.0,11.2,5.6,0.0,11.8,19.0,76,115
3,Keyla Snowden,28,.150,.150,.700,.000,0.0,6.8,2.2,0.0,0.0,0.0,0.0,15.2,44,128
4,Amani Franklin,24,.222,.222,.222,.000,3.7,23.8,10.1,0.0,4.4,0.0,0.0,16.0,65,116
6,Lydia Watkins,13,.506,.333,.000,.667,6.8,0.0,4.7,0.0,4.1,0.0,0.0,12.7,134,120
7,Brittany Henderson,10,.678,.500,.000,1.000,35.6,19.0,30.3,0.0,0.0,0.0,14.8,28.9,141,126
8,Rebecca Gray,10,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.1,0,130
9,School Totals,200,.423,.343,.243,.314,40.0,61.9,47.0,26.1,15.8,0.0,14.8,100.0,89.5,115.8
