,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,West Virginia ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kalis Loyd,38,.520,.462,.154,.231,0.0,13.5,7.2,32.6,2.8,0.0,0.0,19.5,110,77
1,Jenna Plumley,38,.409,.409,.909,.000,0.0,18.9,10.1,32.8,4.3,0.0,38.9,24.5,53,70
2,Ashley Crawford,38,.316,.250,.833,.667,0.0,2.7,1.4,21.1,1.4,0.0,34.0,16.0,51,86
3,Darika Hill,34,.281,.292,.167,.083,3.5,12.1,8.1,0.0,1.6,0.0,24.3,25.0,42,81
4,Trashanna Smith,23,.256,.000,.000,2.000,15.3,22.3,19.1,0.0,0.0,4.6,68.0,13.2,35,76
6,Danielle Heithoff,12,.333,.333,.000,.000,0.0,17.1,9.1,26.3,0.0,0.0,25.0,17.2,56,80
7,Brittney Williams,10,.400,.400,.200,.000,0.0,0.0,0.0,0.0,0.0,10.5,16.7,31.0,60,86
8,Jasmin Henderson,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,91
9,Ang Green,3,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0,91
10,School Totals,200,.379,.356,.404,.192,11.8,61.5,38.4,68.8,9.5,5.3,27.0,100.0,58.1,78.4
