,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,A'dia Mathies,38,.693,.667,.200,1.133,3.8,9.6,6.9,13.6,5.7,1.9,18.2,36.2,122,103
1,Victoria Dunlap,37,.545,.333,.000,1.111,7.7,19.7,14.2,14.9,7.3,0.0,6.9,19.5,132,96
2,Amber Smith,31,.303,.250,.000,.500,0.0,0.0,0.0,38.1,1.7,0.0,50.6,16.0,68,116
3,Keyla Snowden,28,.843,.857,1.000,.571,0.0,0.0,0.0,0.0,0.0,0.0,10.2,17.5,149,120
4,Amani Franklin,18,.750,.750,.167,.000,7.9,13.5,10.9,0.0,6.0,0.0,14.3,19.5,124,101
6,Lydia Watkins,22,.471,.500,.000,.500,6.5,27.5,17.9,18.6,9.8,3.3,0.0,16.7,120,86
7,Rebecca Gray,15,.500,.500,.000,.000,9.5,0.0,4.4,11.9,0.0,0.0,33.3,10.0,95,119
8,Carly Morrow,6,,,,,0.0,20.2,10.9,0.0,0.0,0.0,,0.0,,111
9,Brittany Henderson,5,,,,,85.7,0.0,39.3,0.0,0.0,0.0,100.0,10.0,107,120
10,School Totals,200,.628,.582,.224,.735,32.1,51.5,42.6,60.0,21.6,3.6,18.5,100.0,112.2,104.1
