,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Georgetown ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Corielle Yarde,36,.433,.429,.500,.500,13.2,8.8,11.1,29.9,3.5,0.0,0.0,24.5,104,103
1,Rachele Fitz,36,.362,.200,.000,.800,13.2,11.7,12.5,30.9,1.8,0.0,6.9,20.8,93,104
2,Erica Allenspach,33,.394,.346,.615,.154,5.8,15.9,10.6,0.0,0.0,0.0,17.8,26.4,73,105
3,Kate Oliver,26,.333,.333,.111,.000,3.7,16.2,9.6,0.0,0.0,10.7,10.0,19.9,67,101
4,Kristine Best,23,.000,.000,.750,.000,0.0,13.7,6.5,53.5,0.0,0.0,33.3,13.5,24,107
6,Lynzee Johnson,19,.000,.000,.800,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0,119
7,Elise Caron,13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.9,0,120
8,Brandy Gang,6,.000,.000,.000,.000,0.0,35.1,16.7,0.0,0.0,15.5,0.0,8.6,0,82
9,Emily Stallings,3,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,0,120
10,Kat Lyons,3,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,0,120
11,Brittany Engle,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,118
12,School Totals,200,.308,.258,.433,.283,31.0,55.3,42.5,69.2,4.8,9.3,12.8,100.0,66.7,98.4
