,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Georgetown ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Latia Magee,33,4,9,.444,3,8,.375,1,1,1.000,2,2,1.000,2,3,5,3,1,1,0,1,11
1,Sugar Rodgers,30,3,13,.231,1,4,.250,2,9,.222,0,0,,1,5,6,0,1,0,1,2,8
2,Jaleesa Butler,27,4,11,.364,4,11,.364,0,0,,0,0,,4,5,9,1,1,3,2,3,8
3,Shanice Fuller,26,2,6,.333,2,4,.500,0,2,.000,0,0,,1,3,4,11,1,0,1,1,4
4,Monica McNutt,16,5,8,.625,1,1,1.000,4,7,.571,0,0,,0,1,1,0,0,0,0,4,14
6,Alexa Roche,22,3,11,.273,3,8,.375,0,3,.000,0,0,,5,7,12,0,0,1,0,1,6
7,Rubylee Wright,19,1,4,.250,0,1,.000,1,3,.333,2,4,.500,0,2,2,1,0,0,1,1,5
8,Tia McBride,11,2,4,.500,2,4,.500,0,0,,0,0,,2,2,4,0,0,0,1,0,4
9,Adria Crawford,9,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,0,2,0
10,Kenya Kirkland,3,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0
11,Morgan Williams,2,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2
12,Vanessa Moore,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,Sydney Wilson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
14,School Totals,200,24,68,.353,16,43,.372,8,25,.320,6,8,.750,17,29,46,16,5,5,7,18,62
