,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Middle Tennessee ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brandi Brown,40,5,14,.357,1,4,.250,4,10,.400,0,0,,0,5,5,2,0,0,1,0,14
1,Anne Marie Lanning,40,4,11,.364,1,3,.333,3,8,.375,0,0,,2,1,3,4,1,0,3,1,11
2,Jackie Pickel,39,4,14,.286,1,2,.500,3,12,.250,0,0,,1,4,5,6,1,0,3,5,11
3,Chelsia Lymon,39,3,9,.333,1,3,.333,2,6,.333,3,4,.750,2,3,5,3,2,0,5,2,11
4,Alysha Clark,35,7,17,.412,7,16,.438,0,1,.000,3,4,.750,6,8,14,3,1,0,2,5,17
6,Dana Garrett,5,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0
7,Kortni Jones,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
8,Tina Stewart,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,School Totals,200,23,65,.354,11,28,.393,12,37,.324,6,8,.750,11,21,32,19,5,0,14,14,64
