,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Florida State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jacinta Monroe,35,4,8,.500,4,8,.500,0,0,,3,4,.750,3,5,8,3,0,5,0,3,11
1,Courtney Ward,32,4,10,.400,2,6,.333,2,4,.500,4,4,1.000,1,4,5,7,0,0,2,3,14
2,Alysha Harvin,31,7,13,.538,3,3,1.000,4,10,.400,3,4,.750,0,1,1,2,2,2,1,1,21
3,Angel Gray,27,2,5,.400,2,3,.667,0,2,.000,0,0,,0,1,1,3,0,0,3,2,4
4,Chasity Clayton,13,1,4,.250,1,4,.250,0,0,,0,0,,0,2,2,1,1,0,0,0,2
6,Alexa Deluzio,25,5,7,.714,5,6,.833,0,1,.000,0,0,,0,3,3,1,0,0,3,1,10
7,Christian Hunnicutt,19,1,3,.333,1,2,.500,0,1,.000,0,0,,1,1,2,3,2,0,2,2,2
8,Cierra Bravard,18,5,7,.714,5,7,.714,0,0,,0,0,,4,5,9,0,0,0,2,3,10
9,School Totals,200,29,57,.509,23,39,.590,6,18,.333,10,12,.833,9,22,31,20,5,7,13,15,74
