,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,NC State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Nikitta Gartrell,35,4,12,.333,3,9,.333,1,3,.333,4,5,.800,1,4,5,3,1,0,4,2,13
1,Marissa Kastanek,33,7,16,.438,3,4,.750,4,12,.333,3,4,.750,1,2,3,0,1,0,3,1,21
2,Lucy Ellison,32,0,4,.000,0,4,.000,0,0,,2,2,1.000,1,2,3,1,1,0,2,2,2
3,Bonae Holston,28,4,7,.571,4,7,.571,0,0,,1,2,.500,4,2,6,0,1,0,1,4,9
4,Amber White,26,3,9,.333,2,6,.333,1,3,.333,0,0,,0,1,1,3,3,0,2,3,7
6,Sharnise Beal,16,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,1,0,1,4,0
7,Brittany Strachan,14,0,2,.000,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,1,0,1,0
8,Emili Tasler,11,0,3,.000,0,1,.000,0,2,.000,2,2,1.000,1,0,1,1,1,0,0,1,2
9,Inga Muciniece,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Kelsie Lliteras,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Kim Durham,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Hanna Halteman,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
13,School Totals,200,18,54,.333,12,33,.364,6,21,.286,12,15,.800,9,15,24,8,9,1,13,18,54
