,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Skylar Diggins,42,.357,.357,.214,.000,3.3,11.9,7.9,18.9,8.4,3.8,12.5,21.0,77,91
1,Melissa Lechlitner,41,.713,.714,.071,.214,0.0,6.1,3.2,20.5,2.9,0.0,6.1,22.0,136,109
2,Ashley Barlow,37,.734,.583,.333,1.000,0.0,6.8,3.6,5.2,3.2,0.0,18.8,15.9,126,108
3,Lindsay Schrader,34,.531,.500,.000,.250,8.3,22.1,15.6,24.2,1.7,0.0,0.0,28.8,119,104
4,Erica Williamson,21,.667,.667,.000,.000,6.7,17.9,12.6,9.4,0.0,3.8,50.0,15.8,72,108
6,Devereaux Peters,16,.000,.000,.000,.000,8.8,15.6,12.4,0.0,0.0,0.0,66.7,10.4,22,111
7,Becca Bruszewski,16,.000,.000,.250,.000,0.0,7.8,4.1,10.4,0.0,5.0,0.0,13.8,14,112
8,Natalie Novosel,12,.513,.000,.500,2.000,0.0,10.4,5.5,13.9,0.0,6.7,21.0,21.9,98,110
9,Brittany Mallory,6,.000,.000,.000,.000,23.4,20.8,22.1,0.0,0.0,0.0,0.0,27.6,25,108
10,School Totals,225,.507,.452,.127,.270,18.8,61.1,41.2,51.9,14.3,8.9,13.4,100.0,93.5,100.0
