,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Ohio State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Britney Hodges,37,.335,.295,.636,.182,0.0,11.7,5.1,22.2,5.3,0.0,20.2,33.5,63,113
1,Samantha Leach,28,.471,.333,.250,.500,0.0,11.6,5.0,0.0,3.5,0.0,21.5,27.8,81,117
2,Allison Daily,28,.300,.300,.700,.000,6.0,19.3,11.8,16.7,3.5,4.9,16.7,17.9,66,112
3,Janie Killian,24,.500,.500,.000,.000,17.4,0.0,9.8,9.1,0.0,5.7,0.0,3.5,150,129
4,Quinessa Johnson,17,.000,.000,.000,1.000,4.9,19.1,11.1,0.0,2.9,0.0,25.8,9.5,9,115
6,Brittany Lilley,30,.596,.583,.333,.250,5.6,7.2,6.3,11.1,3.3,2.3,13.1,21.3,111,119
7,Nickia Gibbs,13,.365,.400,.000,.200,12.8,16.6,14.5,44.4,0.0,0.0,35.5,27.1,62,122
8,Allison Smith,12,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0,130
9,Kelsey Caruthers,5,.000,.000,.000,.000,16.7,0.0,9.4,0.0,0.0,0.0,0.0,16.7,20,131
10,Sarah Thorn,3,.526,,,,0.0,0.0,0.0,0.0,16.3,0.0,0.0,12.2,123,95
11,Hannah Geedey,3,.000,.000,1.000,.000,27.8,0.0,15.7,66.7,0.0,0.0,0.0,27.8,40,131
12,School Totals,200,.376,.336,.429,.257,29.2,51.4,38.8,50.0,14.6,8.6,18.6,100.0,72.0,113.4
