,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Texas ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Coco Davis,39,.402,.444,.556,.222,0.0,13.1,7.5,21.7,1.3,0.0,23.3,14.9,77,83
1,Quenese Davis,34,.446,.389,.222,.778,10.1,12.5,11.5,12.7,1.5,0.0,36.7,25.4,70,83
2,Jene Morris,31,.689,.639,.444,.611,3.7,8.2,6.3,24.8,3.2,2.4,11.6,37.7,128,79
3,Paris Johnson,28,.267,.286,.000,.714,8.2,12.2,10.5,22.4,1.8,2.7,9.8,16.5,77,80
4,Jessika Bradley,25,.606,.500,.000,.500,4.6,27.2,17.6,17.0,4.0,9.1,45.0,16.1,79,64
6,Allison Duffy,25,.797,.700,.400,.800,4.6,17.0,11.7,18.6,0.0,3.0,12.9,14.0,154,81
7,Kalena Tutt,10,.263,,,,22.9,8.5,14.6,0.0,0.0,0.0,0.0,8.0,97,88
8,Ashley Duffy,5,,,,,0.0,34.0,19.5,0.0,0.0,0.0,100.0,9.0,0,69
9,Candace Chambers,3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,15.1,0,92
10,School Totals,200,.539,.510,.327,.673,28.6,72.3,53.7,68.2,8.6,11.3,23.4,100.0,91.4,77.8
