,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Dayton ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Helena Sverrisdottir,34,.410,.250,.375,.625,13.4,26.9,19.4,40.8,3.2,3.6,4.7,28.7,109,87
1,Emily Carter,30,.410,.333,.333,.250,0.0,15.2,6.8,0.0,1.8,4.0,0.0,20.3,98,96
2,Starr Crawford,27,.418,.364,.000,.182,13.5,21.2,16.9,9.2,0.0,13.5,20.2,25.2,84,94
3,Eboni Mangum,24,.458,.458,.750,.000,0.0,4.8,2.1,0.0,2.3,0.0,7.7,24.7,93,101
4,Antoinette Thompson,22,.000,.000,.250,.000,4.1,0.0,2.3,0.0,2.5,0.0,0.0,8.3,14,103
6,TK LaFleur,27,.550,.550,.400,.000,6.7,16.9,11.3,0.0,4.0,0.0,9.1,18.6,110,91
7,Delisa Gross,18,.375,.375,.500,.000,5.1,6.3,5.6,0.0,3.0,6.7,33.3,15.2,58,95
8,Rachel Rentschler,12,.750,.750,.500,.000,0.0,0.0,0.0,17.9,0.0,0.0,0.0,7.6,170,108
9,Chantelle John,4,.000,.000,.000,.000,0.0,28.6,12.7,0.0,0.0,0.0,0.0,11.4,0,94
10,Micah Garoutte,1,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0,110
11,Hannah Christian,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,110
12,School Totals,200,.412,.356,.370,.205,29.5,68.6,46.8,36.4,10.8,18.2,9.1,100.0,89.2,90.5
