,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Connecticut ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tiffany Hayes,20,3,7,.429,0,3,.000,3,4,.750,2,2,1.000,1,3,4,2,0,0,3,0,11
1,Caroline Doty,19,4,5,.800,4,4,1.000,0,1,.000,1,1,1.000,1,4,5,5,0,0,1,0,9
2,Tina Charles,17,6,10,.600,6,10,.600,0,0,,0,2,.000,0,6,6,2,2,2,1,1,12
3,Kalana Greene,17,3,4,.750,3,4,.750,0,0,,0,0,,0,1,1,1,1,0,2,1,6
4,Maya Moore,16,6,6,1.000,3,3,1.000,3,3,1.000,4,4,1.000,2,3,5,3,2,0,2,1,19
6,Lorin Dixon,26,2,4,.500,1,2,.500,1,2,.500,1,2,.500,0,1,1,4,0,0,1,0,6
7,Kelly Faris,24,5,6,.833,2,3,.667,3,3,1.000,0,0,,2,8,10,2,1,2,1,0,13
8,Meghan Gardler,20,3,6,.500,1,3,.333,2,3,.667,0,0,,1,1,2,1,2,2,2,3,8
9,Kaili McLaren,17,1,1,1.000,1,1,1.000,0,0,,0,0,,1,5,6,2,0,4,2,1,2
10,Jacquie Fernandes,15,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
11,Heather Buck,9,1,4,.250,1,4,.250,0,0,,2,2,1.000,1,2,3,0,0,1,0,1,4
12,School Totals,200,34,55,.618,22,38,.579,12,17,.706,10,13,.769,9,34,43,22,8,11,15,8,90
