,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Stanford ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Rhaya Neabors,28,.375,.375,.625,.000,0.0,11.9,6.2,8.8,0.0,0.0,20.0,20.6,63,124
1,Marissa Rivera,26,.377,.429,.000,.286,9.3,12.8,11.1,0.0,0.0,3.7,11.3,19.7,74,123
2,Alyssa Morris,26,.357,.357,.429,.000,0.0,12.8,6.7,19.3,0.0,0.0,0.0,15.5,84,124
3,Rheya Neabors,25,.625,.625,.750,.000,0.0,17.8,9.3,30.4,2.5,3.8,63.6,25.4,51,114
4,Amber Cox,23,.200,.200,.600,.000,0.0,9.7,5.0,10.1,0.0,0.0,37.5,20.0,31,126
6,Brittany Waddell,19,.435,.500,.600,.800,0.0,5.8,3.1,0.0,0.0,0.0,0.0,20.5,88,129
7,Tre'Shonti Nottingham,18,.559,.500,.250,.250,0.0,12.3,6.4,22.0,0.0,0.0,0.0,28.4,117,124
8,Jazzmin Lewis,12,.000,.000,1.000,2.000,30.3,0.0,14.5,0.0,0.0,0.0,51.5,18.6,34,132
9,Jessie Schmuckal,9,.833,.833,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,150,132
10,Leah Washington,9,.500,.500,.000,.000,0.0,24.7,12.9,30.5,0.0,0.0,0.0,12.8,116,117
11,Ashley Collier,5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,132
12,School Totals,200,.429,.440,.440,.200,15.2,55.6,36.2,47.4,1.5,4.8,21.5,100.0,72.3,121.5
