,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Skylar Diggins,33,.650,.643,.143,.286,3.7,5.1,4.3,47.7,11.7,0.0,4.1,34.8,146,81
1,Lindsay Schrader,31,.588,.600,.000,.400,19.6,32.3,24.9,5.5,1.8,0.0,25.4,23.7,101,97
2,Ashley Barlow,31,.588,.500,.600,.400,3.9,0.0,2.3,9.1,1.8,0.0,14.5,10.4,129,105
3,Melissa Lechlitner,26,.612,.417,.333,1.333,4.7,0.0,2.7,16.5,2.1,0.0,9.5,18.9,145,104
4,Erica Williamson,11,1.010,1.000,.000,.500,11.0,15.2,12.8,0.0,5.0,0.0,29.1,14.6,133,94
6,Devereaux Peters,20,.219,.250,.000,1.500,6.1,8.3,7.0,27.6,8.3,5.0,13.1,17.8,76,85
7,Becca Bruszewski,17,.400,.400,.000,.000,7.1,19.6,12.4,17.9,6.5,0.0,28.6,19.2,81,89
8,Brittany Mallory,16,.500,.500,.500,.000,7.6,31.3,17.5,8.8,6.9,0.0,33.3,8.7,92,85
9,Natalie Novosel,13,.759,.667,.000,.667,18.6,12.8,16.2,12.4,4.2,0.0,34.0,21.1,114,96
10,Alena Christiansen,1,,,,,100.0,100.0,100.0,0.0,0.0,0.0,,0.0,204,66
11,Kaila Turner,1,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,0,109
12,School Totals,200,.577,.551,.169,.492,45.5,66.7,54.4,64.5,26.0,2.5,16.1,100.0,115.1,90.4
