,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Stanford ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kayla Pedersen,40,7,15,.467,6,9,.667,1,6,.167,3,4,.750,3,7,10,1,1,1,1,1,18
1,Jeanette Pohlen,40,2,7,.286,1,2,.500,1,5,.200,0,0,,2,4,6,4,0,0,5,0,5
2,Nnemkadi Ogwumike,39,5,17,.294,5,17,.294,0,0,,6,7,.857,3,11,14,1,1,0,1,2,16
3,Rosalyn Gold-Onwude,29,1,3,.333,0,1,.000,1,2,.500,0,0,,0,1,1,2,0,1,2,1,3
4,Jayne Appel,18,3,7,.429,3,7,.429,0,0,,2,2,1.000,1,3,4,1,0,0,0,5,8
6,JJ Hones,23,1,4,.250,0,0,,1,4,.250,0,1,.000,0,2,2,4,0,1,2,2,3
7,Joslyn Tinkle,8,1,3,.333,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2
8,Melanie Murphy,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0
9,School Totals,200,20,57,.351,16,39,.410,4,18,.222,11,14,.786,9,29,38,13,2,3,12,13,55
