,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Fresno State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jaleesa Ross,33,5,21,.238,1,1,1.000,4,20,.200,0,0,,2,2,4,2,2,0,1,4,14
1,Taja Edwards,32,1,6,.167,1,6,.167,0,0,,5,6,.833,7,1,8,1,0,0,0,3,7
2,Rosie Moult,25,4,16,.250,0,2,.000,4,14,.286,2,4,.500,2,1,3,3,2,1,2,3,14
3,Marnique Arnold,20,2,6,.333,2,5,.400,0,1,.000,1,2,.500,2,3,5,1,1,0,1,3,5
4,Taylor Thompson,18,0,2,.000,0,1,.000,0,1,.000,0,0,,2,1,3,0,2,0,2,0,0
6,Hayley Munro,24,4,11,.364,1,4,.250,3,7,.429,4,4,1.000,1,3,4,4,1,0,3,2,15
7,Bree Farley,18,3,5,.600,1,1,1.000,2,4,.500,0,0,,2,2,4,2,0,0,1,2,8
8,Emma Andrews,15,2,4,.500,1,1,1.000,1,3,.333,0,0,,0,0,0,2,2,0,1,3,5
9,Veronica Wilson,15,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
10,School Totals,200,21,71,.296,7,21,.333,14,50,.280,12,16,.750,18,13,31,15,10,1,11,21,68
