,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Courtney Ward,39,.545,.545,.909,.000,3.0,11.4,7.3,62.0,1.5,0.0,15.4,16.0,134,95,
1,Alexa Deluzio,38,.428,.400,.500,.600,6.2,0.0,3.0,13.3,1.5,2.2,24.0,21.1,83,99,
2,Christian Hunnicutt,35,.365,.400,.000,.200,16.8,3.2,9.8,13.7,1.6,0.0,52.4,15.7,52,99,
3,Cierra Bravard,29,.587,.500,.000,1.300,12.2,26.8,19.7,11.4,2.0,2.9,16.0,31.1,117,83,
4,Natasha Howard,21,.334,.357,.286,.143,22.4,21.2,21.8,0.0,2.7,0.0,21.2,21.6,71,86,
6,Chasity Clayton,21,.252,.214,.286,.286,5.6,47.6,27.2,0.0,0.0,0.0,20.2,22.6,56,79,
7,Chelsea Davis,15,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,118,104,
8,Tay'ler Mingo,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,105,
9,School Totals,200,.454,.426,.352,.426,47.1,69.4,58.6,73.7,7.2,4.3,22.6,100.0,85.5,88.4,
