,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Ohio State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Metra Walthour,40,.442,.406,.313,.125,2.9,5.3,3.7,13.6,5.8,0.0,10.6,22.2,102,98,
1,Alex Montgomery,37,.233,.233,.733,.000,0.0,51.2,18.0,8.7,1.6,3.4,6.3,20.4,65,102,
2,Sasha Goodlett,34,.500,.500,.000,.000,10.1,18.6,13.1,5.6,1.7,0.0,25.0,22.2,87,107,
3,Chelsea Regins,34,.500,.500,.000,.000,23.5,6.2,17.4,5.1,3.4,0.0,20.0,13.9,105,104,
4,Deja Foster,25,.500,.500,.000,.000,4.6,16.8,8.9,12.9,4.6,0.0,20.0,9.4,103,100,
6,Tyaunna Marshall,22,.462,.462,.077,.000,10.4,0.0,6.7,10.6,5.3,0.0,7.1,30.0,105,100,
7,Mo Bennett,6,.500,.500,.000,.000,0.0,0.0,0.0,0.0,19.3,0.0,33.3,23.6,69,69,
8,LaQuananisha Adams,2,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0,112,
9,Dawnn Maye,0,.000,.000,.000,.000,,,,,,,0.0,,,,
10,School Totals,200,.411,.403,.236,.028,40.0,84.2,55.6,35.7,20.3,3.1,14.1,100.0,87.0,97.1,
