,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Georgia Tech ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Metra Walthour,40,6,16,.375,5,11,.455,1,5,.200,2,2,1.000,1,1,2,3,4,0,2,5,15
1,Alex Montgomery,37,3,15,.200,2,4,.500,1,11,.091,0,0,,0,9,9,2,1,1,1,2,7
2,Sasha Goodlett,34,6,12,.500,6,12,.500,0,0,,0,0,,3,3,6,1,1,0,4,3,12
3,Chelsea Regins,34,4,8,.500,4,8,.500,0,0,,0,0,,7,1,8,1,2,0,2,2,8
4,Deja Foster,25,2,4,.500,2,4,.500,0,0,,0,0,,1,2,3,2,2,0,1,3,4
6,Tyaunna Marshall,22,6,13,.462,6,12,.500,0,1,.000,0,0,,2,0,2,1,2,0,1,4,12
7,Mo Bennett,6,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,2,0,1,1,2
8,LaQuananisha Adams,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Dawnn Maye,0,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,School Totals,200,28,72,.389,26,55,.473,2,17,.118,2,2,1.000,14,16,30,10,14,1,12,20,60
