,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Green Bay ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kayla Tetschlag,40,9,17,.529,7,12,.583,2,5,.400,7,10,.700,6,4,10,1,2,0,7,4,27
1,Celeste Hoewisch,36,7,16,.438,3,9,.333,4,7,.571,2,2,1.000,2,1,3,6,3,0,3,4,20
2,Sarah Eichler,28,3,9,.333,2,5,.400,1,4,.250,0,0,,2,2,4,4,0,0,1,5,7
3,Hannah Quilling,26,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,1,1,2,3,0,1,1,5
4,Julie Wojta,24,1,6,.167,0,4,.000,1,2,.500,2,2,1.000,1,2,3,4,1,0,3,5,5
6,Lydia Bauer,21,1,7,.143,0,2,.000,1,5,.200,2,2,1.000,1,1,2,2,2,0,0,1,5
7,Adrian Ritchie,18,1,2,.500,0,0,,1,2,.500,0,0,,1,2,3,1,0,2,2,1,3
8,Stephanie Sension,7,1,5,.200,0,3,.000,1,2,.500,1,2,.500,2,0,2,0,1,0,1,0,4
9,School Totals,200,25,65,.385,13,37,.351,12,28,.429,14,18,.778,15,13,28,20,12,2,18,21,76
