,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Keyla Snowden,37,.640,.583,.750,.500,0.0,3.2,1.6,7.6,3.4,0.0,6.4,22.3,132,94,
1,Brittany Henderson,33,.606,.500,.000,.500,3.7,21.5,12.7,7.1,0.0,8.5,17.0,9.4,117,86,
2,Victoria Dunlap,26,.375,.286,.000,.500,23.4,31.9,27.7,23.0,0.0,7.2,19.0,42.7,81,80,
3,Bernisha Pinkett,25,.125,.125,.250,.000,4.9,4.7,4.8,8.9,2.5,0.0,20.0,21.1,34,95,
4,A'dia Mathies,24,.429,.429,.143,.000,5.1,0.0,2.5,34.4,0.0,0.0,22.2,19.8,85,104,
6,Maegan Conwright,27,.503,.500,.429,.286,0.0,13.2,6.7,29.4,4.6,0.0,0.0,15.4,124,85,
7,Kastine Evans,21,1.500,1.500,1.000,.000,11.6,0.0,5.7,0.0,5.9,0.0,66.7,7.5,75,90,
8,Crystal Riley,11,.200,.200,.200,.000,11.1,0.0,5.5,45.7,5.6,8.5,0.0,24.0,77,87,
9,Sarah Beth Barnette,8,1.000,1.000,.667,.000,15.2,44.4,30.0,0.0,0.0,0.0,25.0,26.4,118,75,
10,Jennifer O'Neill,7,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0,104,
11,Samantha Drake,6,.526,,,,0.0,39.5,20.0,34.1,0.0,0.0,0.0,7.7,145,78,
12,School Totals,225,.452,.406,.297,.297,32.4,60.5,46.7,63.6,11.0,12.5,15.1,100.0,90.4,84.9,
