,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Rutgers ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,April Sykes,33,9,16,.563,7,11,.636,2,5,.400,2,2,1.000,1,5,6,2,2,0,1,1,22
1,Erica Wheeler,31,3,10,.300,2,5,.400,1,5,.200,0,0,,0,5,5,3,2,0,1,2,7
2,Daisha Simmons,29,2,5,.400,1,4,.250,1,1,1.000,0,0,,2,2,4,3,0,0,0,1,5
3,Khadijah Rushdan,26,4,8,.500,4,8,.500,0,0,,8,10,.800,2,8,10,4,3,1,1,3,16
4,Chelsey Lee,24,5,8,.625,5,8,.625,0,0,,1,2,.500,3,8,11,0,1,3,1,3,11
6,Nikki Speed,27,0,3,.000,0,2,.000,0,1,.000,4,4,1.000,0,2,2,4,1,0,3,4,4
7,Monique Oliver,22,4,4,1.000,4,4,1.000,0,0,,0,0,,0,4,4,2,0,2,3,5,8
8,Julie Paunovic,4,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3
9,Jaymee Tucker,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,1,0
10,Brittany Lapidus,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,200,28,55,.509,23,42,.548,5,13,.385,15,18,.833,8,36,44,18,9,6,12,21,76
