,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Xavier ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Shoni Schimmel,38,.791,.833,.611,.333,0.0,16.2,9.0,20.5,4.3,0.0,16.2,34.1,134,108,
1,Monique Reid,38,.423,.308,.077,.385,5.0,12.1,9.0,0.0,5.7,0.0,16.5,25.2,80,106,
2,Tia Gibbs,37,.759,.667,.167,.667,0.0,12.5,6.9,27.4,10.3,9.0,11.4,12.5,160,92,
3,Keshia Hines,33,.600,.600,.000,.000,0.0,0.0,0.0,0.0,3.3,5.1,0.0,8.0,122,113,
4,Asia Taylor,7,.000,.000,.000,.000,27.2,22.0,24.3,0.0,0.0,23.8,50.0,30.1,23,106,
6,Charmaine Tay,22,.809,.667,.000,2.667,8.7,35.0,23.2,14.9,7.4,0.0,0.0,15.6,189,95,
7,Becky Burke,17,.840,.900,.600,.400,11.2,9.0,10.0,0.0,3.2,0.0,14.5,21.3,143,112,
8,Sheronne Vails,7,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15.0,0,122,
9,Antonita Slaughter,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124,
10,Polly Harrington,0,,,,,,,,,,,,,,,
11,Rachel Story,0,,,,,,,,,,,,,,,
12,Shelby Harper,0,,,,,,,,,,,,,,,
13,School Totals,200,.655,.613,.302,.472,19.0,65.4,44.7,39.3,27.0,16.7,15.6,100.0,114.9,101.4,
