,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jasmine James,40,.610,.500,.100,1.000,0.0,13.2,8.2,0.0,6.0,0.0,29.4,28.0,92,59,
1,Porsha Phillips,35,.625,.625,.000,.000,19.9,30.1,26.2,15.0,1.7,9.5,27.3,17.2,106,54,
2,Meredith Mitchell,35,.364,.300,.200,.500,0.0,21.1,13.1,0.0,3.4,0.0,24.7,25.4,61,59,
3,Jasmine Hassell,30,.849,.833,.000,.167,11.6,10.5,10.9,0.0,0.0,0.0,38.3,19.1,103,73,
4,Khaalidah Miller,27,.000,.000,.500,.000,0.0,3.9,2.4,14.1,2.2,0.0,33.3,12.2,20,71,
6,Anne Marie Armstrong,22,.576,.583,.333,.333,7.9,0.0,3.0,23.4,2.7,0.0,0.0,17.2,138,73,
7,Tamika Willis,9,,,,,0.0,23.4,14.6,21.2,6.6,12.3,100.0,6.1,38,45,
8,Arieal Johnson,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,79,
9,Ebony Jones,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,54.9,0,79,
10,School Totals,200,.533,.489,.159,.409,30.4,73.7,57.4,33.3,14.9,11.1,28.6,100.0,83.6,61.2,
