,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Felicia Chester,36,.500,.500,.083,.000,17.5,21.2,18.8,24.2,10.7,0.0,25.0,22.6,96,56,
1,Anna Martin,36,.294,.294,.294,.000,0.0,0.0,0.0,5.7,3.6,5.1,0.0,24.1,79,79,
2,Sam Quigley,32,.352,.333,.444,.222,3.3,17.9,8.5,5.9,2.0,0.0,9.2,17.3,83,77,
3,Katherine Harry,29,.436,.455,.000,.091,18.1,13.1,16.4,15.2,0.0,6.3,0.0,20.1,117,82,
4,Keisha Hampton,27,.293,.269,.231,.385,3.9,28.2,12.6,14.4,4.8,6.7,16.5,34.3,66,64,
6,Deirdre Naughton,20,.833,.833,.333,.000,10.5,0.0,6.8,0.0,0.0,0.0,0.0,7.6,183,89,
7,China Threatt,11,.750,.750,.500,.000,0.0,0.0,0.0,0.0,5.8,0.0,0.0,9.3,170,75,
8,Taylor Pikes,9,,,,,0.0,21.2,7.5,0.0,0.0,0.0,,0.0,,80,
9,School Totals,200,.395,.396,.224,.119,39.5,66.7,49.2,40.0,19.4,13.6,10.2,100.0,90.3,69.4,
