,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Victoria Dunlap,37,.492,.476,.048,.238,6.2,4.7,5.8,6.3,4.0,4.2,4.1,27.1,107,110,
1,Brittany Henderson,32,.300,.300,.000,.000,14.4,0.0,10.0,5.2,0.0,0.0,16.7,15.5,76,123,
2,A'dia Mathies,28,.398,.269,.231,.538,0.0,6.2,1.9,6.0,1.7,2.8,11.1,26.8,83,115,
3,Keyla Snowden,27,.375,.375,.625,.000,0.0,12.9,4.0,7.2,3.6,0.0,0.0,24.6,86,108,
4,Bernisha Pinkett,15,.505,.375,.750,.500,10.3,11.6,10.7,21.1,0.0,0.0,0.0,13.5,135,118,
6,Maegan Conwright,23,.593,.571,.143,.429,0.0,15.1,4.6,8.3,0.0,0.0,19.4,18.6,100,116,
7,Jennifer O'Neill,16,.250,.250,.500,.000,4.8,10.9,6.7,9.8,3.1,0.0,0.0,15.5,72,110,
8,Kastine Evans,11,.000,.000,.000,.000,7.0,15.8,9.7,13.0,4.5,0.0,0.0,3.8,77,105,
9,Sarah Beth Barnette,5,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0,123,
10,Crystal Riley,4,.500,.500,.500,.000,19.2,0.0,13.3,55.6,0.0,0.0,0.0,20.7,132,123,
11,Samantha Drake,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.7,0,123,
12,School Totals,200,.415,.377,.284,.210,26.9,39.1,30.7,35.7,9.8,5.9,8.2,100.0,90.2,104.9,
