,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Stanford ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Italee Lucas,38,.553,.500,.278,.222,0.0,12.5,6.9,27.0,0.0,0.0,16.8,27.7,111,106,
1,Chay Shegog,31,.506,.400,.000,.600,7.6,12.3,10.2,0.0,1.7,2.4,13.7,21.0,106,101,
2,Jessica Breland,25,.072,.077,.000,.154,14.1,15.2,14.7,7.1,2.1,11.9,6.7,26.4,31,93,
3,Cetera DeGraffenreid,24,.600,.600,.600,.000,0.0,4.0,2.2,0.0,0.0,0.0,28.6,12.9,92,111,
4,Krista Gross,19,.000,.000,.500,.000,6.2,15.0,11.1,8.8,0.0,0.0,0.0,9.3,28,104,
6,Tierra Ruffin-Pratt,21,.500,.500,.071,.000,28.0,13.6,20.1,0.0,2.5,0.0,12.5,33.8,103,99,
7,She'la White,18,1.000,1.000,.667,.000,0.0,15.9,8.8,22.7,0.0,0.0,0.0,7.4,221,104,
8,Laura Broomfield,15,.000,.000,.000,.000,0.0,31.7,17.5,0.0,3.5,0.0,50.0,5.9,0,87,
9,Waltiea Rolle,9,.253,.000,.000,.667,26.1,0.0,11.7,0.0,0.0,8.2,20.5,24.1,66,109,
10,School Totals,200,.419,.380,.183,.197,38.2,66.7,53.9,33.3,5.2,11.1,14.3,100.0,84.4,93.5,
