,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kalisha Keane,40,.587,.607,.429,.071,3.3,15.6,9.7,28.6,2.8,7.7,17.2,22.8,110,91,
1,Brittney Thomas,34,.389,.389,.222,.000,3.9,7.4,5.7,14.4,1.7,0.0,30.8,20.0,68,101,
2,Taylor Alton,32,.636,.636,.818,.000,0.0,7.8,4.0,0.0,0.0,0.0,8.3,19.6,111,104,
3,Cetera Washington,31,.741,.833,.000,.500,4.3,24.2,14.6,12.0,1.8,6.6,0.0,12.4,157,91,
4,Lykendra Johnson,22,.670,.625,.125,.250,12.1,28.4,20.5,28.8,5.2,0.0,18.4,25.9,123,88,
6,Annalise Pickrel,13,.250,.250,.000,.000,20.5,28.8,24.8,12.3,4.4,7.9,0.0,16.1,91,84,
7,Jasmine Thomas,13,.000,.000,.000,1.000,0.0,28.8,14.9,22.0,4.4,0.0,0.0,11.6,42,90,
8,Porsche Poole,8,.339,.000,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,25.8,25.4,58,106,
9,Klarissa Bell,7,.500,.500,.250,.000,0.0,0.0,0.0,0.0,0.0,0.0,20.0,37.4,73,106,
10,School Totals,200,.533,.533,.333,.167,23.3,81.3,53.2,60.7,11.4,15.4,15.6,100.0,98.6,94.3,
