,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Notre Dame ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Natalie Novosel,37,6,16,.375,6,15,.400,0,1,.000,5,5,1.000,0,4,4,5,2,0,1,1,17
1,Becca Bruszewski,37,5,10,.500,5,10,.500,0,0,,3,4,.750,1,7,8,1,1,0,4,4,13
2,Skylar Diggins,36,9,17,.529,5,9,.556,4,8,.500,2,2,1.000,0,2,2,4,4,1,3,2,24
3,Brittany Mallory,35,1,4,.250,0,2,.000,1,2,.500,7,8,.875,1,2,3,3,2,0,2,1,10
4,Devereaux Peters,17,3,5,.600,3,5,.600,0,0,,1,3,.333,2,3,5,1,0,0,3,5,7
6,Natalie Achonwa,24,1,2,.500,1,2,.500,0,0,,0,0,,5,1,6,2,2,0,2,1,2
7,Fraderica Miller,11,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,2,0
8,Kaila Turner,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,School Totals,200,25,56,.446,20,45,.444,5,11,.455,18,22,.818,9,20,29,17,11,1,15,16,73
