,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Brittany Rayburn,33,.367,.278,.444,.444,3.8,9.6,6.9,0.0,0.0,2.9,8.5,20.0,76,106,
1,Dee Dee Williams,30,.500,.500,.667,.000,4.2,7.0,5.7,21.1,2.0,0.0,50.0,11.2,60,104,
2,Courtney Moses,27,.251,.222,.333,.222,0.0,15.6,8.5,0.0,4.5,3.5,0.0,20.5,56,90,
3,Drey Mingo,22,.411,.350,.200,.200,5.7,9.6,7.8,0.0,0.0,8.7,15.5,32.9,74,105,
4,Chelsea Jones,18,.000,.000,.000,.000,6.9,17.5,12.7,15.9,0.0,5.3,71.4,21.8,9,99,
6,Antionette Howard,27,.279,.250,.375,.250,0.0,3.9,2.1,26.8,4.5,0.0,10.1,20.5,60,101,
7,Sam Ostarello,22,.600,.600,.400,.000,5.7,14.4,10.4,0.0,0.0,17.3,0.0,12.8,123,99,
8,Alex Guyton,11,.288,.167,.000,.333,0.0,0.0,0.0,0.0,5.5,0.0,0.0,35.1,65,102,
9,Samantha Woods,6,.000,.000,1.000,.000,0.0,17.5,9.5,47.6,0.0,0.0,0.0,9.4,33,100,
10,Chantel Poston,4,.000,.000,.000,.000,31.3,0.0,14.3,0.0,0.0,0.0,0.0,14.0,36,115,
11,School Totals,200,.335,.287,.315,.222,18.8,50.0,35.7,42.9,9.1,21.4,16.7,100.0,60.6,97.0,
