,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Purdue ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brittany Rayburn,38,7,15,.467,6,9,.667,1,6,.167,6,6,1.000,1,1,2,0,0,0,2,2,21
1,Drey Mingo,35,6,9,.667,3,5,.600,3,4,.750,1,2,.500,0,7,7,0,0,4,3,1,16
2,Chelsea Jones,28,0,2,.000,0,2,.000,0,0,,0,0,,0,5,5,1,2,2,0,1,0
3,Courtney Moses,26,1,4,.250,1,3,.333,0,1,.000,3,4,.750,0,0,0,5,1,0,1,1,5
4,Chantel Poston,6,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0
6,Dee Dee Williams,34,0,0,,0,0,,0,0,,2,2,1.000,1,0,1,3,2,0,3,3,2
7,Antionette Howard,16,2,4,.500,1,2,.500,1,2,.500,2,2,1.000,0,3,3,0,1,0,3,1,7
8,Alex Guyton,15,1,6,.167,1,6,.167,0,0,,0,0,,1,4,5,0,0,0,0,0,2
9,Samantha Woods,2,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
10,School Totals,200,17,42,.405,12,28,.429,5,14,.357,14,16,.875,3,20,23,9,6,6,13,9,53
