,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Tyra White,38,.458,.458,.167,.000,3.9,10.5,7.4,5.6,3.2,5.1,7.7,18.5,108,77,
1,Sydney Colson,36,.503,.500,.500,.250,4.1,14.8,9.7,26.9,3.4,0.0,25.3,17.9,105,78,
2,Danielle Adams,35,.642,.556,.333,.444,21.2,22.9,22.1,8.3,5.2,8.4,12.2,37.9,136,66,
3,Sydney Carter,29,.782,.750,.375,.250,5.1,4.6,4.8,16.1,2.1,0.0,10.1,18.4,159,85,
4,Adaora Elonu,25,.517,.000,.000,4.000,11.9,10.7,11.2,13.3,0.0,7.8,52.1,12.5,82,82,
6,Maryann Baker,12,.256,.000,.000,2.000,12.3,11.1,11.7,0.0,0.0,0.0,34.7,13.0,56,87,
7,Kelsey Assarian,8,.000,.000,.000,.000,18.5,33.3,26.3,0.0,0.0,24.4,50.0,13.5,27,64,
8,Skylar Collins,8,,,,,0.0,16.7,8.8,0.0,7.6,0.0,,0.0,,68,
9,Adrienne Pratcher,6,.000,.000,.000,.000,0.0,0.0,0.0,55.6,10.2,0.0,50.0,18.0,56,70,
10,Karla Gilbert,2,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,200,91,
11,Kristen Grant,1,1.000,1.000,.000,.000,0.0,100.0,70.2,0.0,0.0,0.0,0.0,54.1,200,30,
12,School Totals,200,.578,.529,.288,.346,44.4,70.0,57.9,54.2,15.4,22.0,18.8,100.0,107.7,73.8,
