,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Samford ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Emily London,31,4,9,.444,2,6,.333,2,3,.667,4,4,1.000,0,2,2,1,1,0,4,2,14
1,Paige Anderson,31,1,7,.143,0,2,.000,1,5,.200,4,6,.667,1,2,3,2,0,0,1,2,7
2,Ruth Ketcham,26,4,7,.571,4,6,.667,0,1,.000,0,0,,1,1,2,1,0,0,2,1,8
3,Savannah Hill,26,1,11,.091,1,9,.111,0,2,.000,2,4,.500,2,2,4,3,0,0,0,4,4
4,Hannah Dawson,25,2,6,.333,0,2,.000,2,4,.500,0,0,,1,4,5,0,0,1,1,2,6
6,Brittany Jack,15,0,4,.000,0,2,.000,0,2,.000,3,4,.750,0,1,1,0,0,0,2,2,3
7,Jazmine Powers,13,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0
8,Shelby Campbell,13,0,2,.000,0,1,.000,0,1,.000,0,1,.000,1,0,1,0,0,0,0,0,0
9,J'Quita Babineaux,10,1,2,.500,1,1,1.000,0,1,.000,0,0,,1,1,2,0,1,1,2,5,2
10,Jazmine Martin,5,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,0,2
11,Kylie Black,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Kendall Schwantz,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,Christy Robinson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
14,School Totals,200,14,52,.269,9,33,.273,5,19,.263,13,19,.684,7,14,21,7,3,2,12,21,46
