,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,St. John's ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Centhya Hart,35,6,11,.545,6,11,.545,0,0,,3,3,1.000,2,3,5,0,1,0,0,2,15
1,Nadirah McKenith,34,5,13,.385,5,11,.455,0,2,.000,0,0,,3,2,5,5,3,1,3,1,10
2,Da'Shena Stevens,28,5,10,.500,5,10,.500,0,0,,1,2,.500,0,2,2,1,1,0,1,4,11
3,Shenneika Smith,26,1,8,.125,1,5,.200,0,3,.000,0,0,,1,2,3,1,1,0,1,3,2
4,Sky Lindsay,13,1,3,.333,1,3,.333,0,0,,0,2,.000,1,1,2,0,1,0,1,1,2
6,Amanda Burakoski,21,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,0,0,1,0,0,3,0,3
7,Keylantra Langley,20,0,4,.000,0,4,.000,0,0,,0,0,,0,1,1,3,0,0,0,1,0
8,Eugeneia McPherson,15,1,5,.200,1,4,.250,0,1,.000,0,0,,1,0,1,0,0,0,0,2,2
9,Jennifer Blanding,6,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2
10,Briana Brown,1,1,1,1.000,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2
11,Zakiyyah Shahid-Martin,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,School Totals,200,22,60,.367,21,53,.396,1,7,.143,4,7,.571,10,11,21,11,7,1,9,14,49
