,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Temple ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shey Peddy,38,8,16,.500,4,10,.400,4,6,.667,1,4,.250,1,3,4,4,3,0,2,0,21
1,Kristen McCarthy,35,5,14,.357,2,10,.200,3,4,.750,3,6,.500,1,2,3,1,3,0,1,5,16
2,Qwedia Wallace,30,3,10,.300,2,8,.250,1,2,.500,2,2,1.000,1,0,1,2,2,0,5,2,9
3,Marli Bennett,25,1,2,.500,1,1,1.000,0,1,.000,2,2,1.000,1,1,2,1,0,0,2,5,4
4,Victoria Macaulay,24,1,8,.125,1,8,.125,0,0,,0,0,,2,6,8,0,1,1,1,4,2
6,Natasha Thames,28,4,9,.444,4,9,.444,0,0,,4,11,.364,8,6,14,1,3,0,1,0,12
7,B.J. Williams,14,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,2,2,0
8,Joelle Connelly,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,Danielle Brinkley,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Nikki Works,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,School Totals,200,22,61,.361,14,48,.292,8,13,.615,12,25,.480,14,18,32,9,12,1,14,19,64
