,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Baylor ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brittney Griner,40,6,18,.333,6,18,.333,0,0,,8,15,.533,2,7,9,0,0,2,4,3,20
1,Odyssey Sims,40,0,6,.000,0,5,.000,0,1,.000,2,2,1.000,1,1,2,4,1,0,2,3,2
2,Melissa Jones,30,5,9,.556,4,7,.571,1,2,.500,2,2,1.000,3,4,7,0,1,0,3,3,13
3,Destiny Williams,28,2,4,.500,2,4,.500,0,0,,1,2,.500,1,5,6,0,0,1,4,2,5
4,Jordan Madden,17,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,3,2,0
6,Kimetria Hayden,28,1,5,.200,1,3,.333,0,2,.000,2,4,.500,2,5,7,3,0,0,2,2,4
7,Brooklyn Pope,12,1,4,.250,1,4,.250,0,0,,0,0,,1,2,3,0,0,1,1,3,2
8,Terran Condrey,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,School Totals,200,15,48,.313,14,42,.333,1,6,.167,15,25,.600,10,25,35,7,2,4,19,18,46
