,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Baylor ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brittney Griner,32,13,18,.722,13,18,.722,0,0,,9,11,.818,3,7,10,2,2,6,1,2,35
1,Odyssey Sims,28,3,7,.429,2,4,.500,1,3,.333,4,6,.667,1,0,1,1,1,0,1,1,11
2,Kimetria Hayden,27,2,7,.286,2,5,.400,0,2,.000,1,2,.500,1,0,1,3,2,0,3,1,5
3,Destiny Williams,26,9,10,.900,9,10,.900,0,0,,0,0,,4,1,5,1,1,1,1,1,18
4,Jordan Madden,25,0,4,.000,0,4,.000,0,0,,0,0,,0,0,0,3,2,1,1,2,0
6,Terran Condrey,22,0,0,,0,0,,0,0,,0,0,,0,3,3,2,1,0,0,0,0
7,Brooklyn Pope,15,3,7,.429,3,7,.429,0,0,,3,5,.600,2,6,8,1,0,2,2,2,9
8,Makenzie Robertson,7,0,2,.000,0,1,.000,0,1,.000,2,2,1.000,0,1,1,1,0,0,2,0,2
9,Sune Agbuke,6,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2
10,Ashley Field,6,0,1,.000,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1
11,Lindsay Palmer,6,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0
12,School Totals,200,30,56,.536,29,50,.580,1,6,.167,22,30,.733,11,19,30,14,9,10,11,12,83
