,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Kentucky ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Taelor Karr,35,.250,.250,.250,.000,0.0,8.8,3.6,17.7,0.0,0.0,20.0,7.1,71,128,
1,Katelan Redmon,34,.323,.333,.000,.067,9.5,18.1,13.1,16.7,1.7,0.0,11.5,25.3,76,119,
2,Kelly Bowen,31,.443,.364,.182,.273,13.9,24.8,18.4,0.0,0.0,0.0,7.5,21.2,101,120,
3,Kayla Standish,30,.583,.550,.000,.150,3.6,5.1,4.2,32.4,3.8,0.0,0.0,35.1,131,119,
4,Haiden Palmer,26,.250,.250,.250,.000,4.2,0.0,2.4,0.0,2.2,0.0,20.0,19.0,49,125,
6,Jazmine Redmon,18,.250,.250,.000,.000,6.0,8.5,7.1,17.9,12.5,0.0,42.9,19.2,46,96,
7,Danielle Walter,13,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,250,133,
8,Shannon Reader,6,.508,.500,.000,1.000,18.0,0.0,10.6,0.0,0.0,0.0,25.8,31.9,86,131,
9,Stephanie Golden,2,,,,,0.0,76.9,31.7,0.0,0.0,0.0,,0.0,,79,
10,Sunny Greinacher,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,133,
11,Keani Albanez,2,,,,,0.0,0.0,0.0,0.0,0.0,50.0,,0.0,,115,
12,Meghan Winters,1,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0,133,
13,School Totals,200,.435,.410,.090,.134,29.7,53.8,39.7,44.4,11.3,2.5,12.3,100.0,87.3,111.3,
