,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Shenise Johnson,37,.435,.435,.174,.000,13.5,27.9,19.8,9.7,1.6,0.0,11.5,34.1,92,97,
1,Stefanie Yderstrom,30,.275,.111,.222,.444,3.3,0.0,1.9,12.9,4.0,0.0,15.7,20.6,66,102,
2,Sylvia Bullock,29,.169,.000,.000,1.000,3.4,8.9,5.8,6.3,2.0,3.4,41.0,8.2,36,102,
3,Krystal Saunders,28,.214,.214,.714,.000,0.0,4.6,2.0,6.9,0.0,0.0,0.0,12.1,62,110,
4,Shawnice Wilson,22,.502,.455,.000,.182,18.2,29.3,23.0,0.0,0.0,8.9,7.8,28.4,111,94,
6,Suriya McGuire,17,.432,.333,.000,.333,5.9,7.6,6.6,13.6,0.0,0.0,12.7,22.5,95,109,
7,Maria Brown,14,.000,.000,.000,.000,0.0,36.9,16.1,0.0,4.2,7.0,0.0,6.9,0,84,
8,Michelle Woods,13,.333,.333,.000,.000,7.7,0.0,4.3,0.0,0.0,0.0,25.0,14.9,62,111,
9,Shanel Williams,6,.500,.500,.500,.000,0.0,0.0,0.0,43.5,0.0,0.0,0.0,16.2,126,111,
10,Jessica Capers,4,.500,.500,.000,.000,25.0,0.0,14.1,0.0,0.0,0.0,33.3,36.4,74,109,
11,School Totals,200,.376,.336,.179,.149,35.0,67.7,49.3,31.8,7.5,9.8,13.3,100.0,80.6,97.0,
